time , step-size , {bodyFMU}.body.robot_theta , {bodyFMU}.body.robot_x , {bodyFMU}.body.robot_y , {bodyFMU}.body.robot_z , {controllerFMU}.controller.servoLeftVal , {controllerFMU}.controller.servoRightVal , {sensor1FMU}.sensor1.lf_1_sensor_reading , {sensor2FMU}.sensor2.lf_1_sensor_reading
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0000000000000002 , 1.0000000000000002
0.005 , 0.005 , 0.0 , 0.138 , -0.08 , 0.0 , 0.4 , -0.4 , 143.00000000000003 , 143.00000000000003
0.01 , 0.005 , 0.0 , 0.138 , -0.07999131101658093 , 0.0 , 0.4 , -0.4 , 143.00000000000003 , 143.00000000000003
0.015 , 0.005 , 0.0 , 0.138 , -0.07994458174955717 , 0.0 , 0.4 , -0.4 , 205.00000000000006 , 205.00000000000006
0.02 , 0.005 , 0.0 , 0.138 , -0.0798749409501235 , 0.0 , 0.4 , -0.4 , 205.00000000000006 , 205.00000000000006
0.025 , 0.005 , 0.0 , 0.138 , -0.07979585074407007 , 0.0 , 0.4 , -0.4 , 234.00000000000006 , 234.00000000000006
0.030000000000000002 , 0.005 , 0.0 , 0.138 , -0.07971202384266776 , 0.0 , 0.4 , -0.4 , 246.00000000000006 , 141.00000000000003
0.035 , 0.005 , 0.0 , 0.138 , -0.07962485311137982 , 0.0 , 0.4 , -0.4 , 246.00000000000006 , 141.00000000000003
0.04 , 0.005 , 0.0 , 0.138 , -0.079534740443721 , 0.0 , 0.1 , -0.5 , 246.00000000000006 , 141.00000000000003
0.045 , 0.005 , 2.8747962996949475E-4 , 0.1379990269007789 , -0.07944398704763277 , 0.0 , 0.1 , -0.5 , 251.00000000000006 , 153.00000000000003
0.049999999999999996 , 0.005 , 0.0016779822827575907 , 0.1379867281334334 , -0.07935999312419471 , 0.0 , 0.1 , -0.5 , 251.00000000000006 , 153.00000000000003
0.05499999999999999 , 0.005 , 0.003802400836498419 , 0.1379619053113551 , -0.07927904632871553 , 0.0 , 0.1 , -0.5 , 253.00000000000006 , 158.00000000000003
0.05999999999999999 , 0.005 , 0.005906194778813426 , 0.13793423043249933 , -0.07919783380571965 , 0.0 , 0.1 , -0.5 , 253.00000000000006 , 158.00000000000003
0.06499999999999999 , 0.005 , 0.007723832019156541 , 0.1379096775671187 , -0.07911518600029954 , 0.0 , 0.1 , -0.5 , 255.00000000000006 , 161.00000000000003
0.06999999999999999 , 0.005 , 0.009425118008352832 , 0.13788749495200192 , -0.07903077120303793 , 0.0 , 0.1 , -0.5 , 255.00000000000006 , 161.00000000000003
0.075 , 0.005 , 0.011216003576118103 , 0.13786474266953322 , -0.07894453315236842 , 0.0 , 0.1 , -0.5 , 254.00000000000006 , 169.00000000000003
0.08 , 0.005 , 0.013138790046566694 , 0.1378401003161023 , -0.07885648580537492 , 0.0 , 0.1 , -0.5 , 254.00000000000006 , 169.00000000000003
0.085 , 0.005 , 0.015129340479466194 , 0.13781407382624183 , -0.0787666463170116 , 0.0 , 0.1 , -0.5 , 251.00000000000006 , 186.00000000000003
0.09000000000000001 , 0.005 , 0.017133317311894877 , 0.13778750319821675 , -0.07867502757501987 , 0.0 , 0.1 , -0.5 , 248.00000000000006 , 198.00000000000006
0.09500000000000001 , 0.005 , 0.019146799539430635 , 0.13776064342279506 , -0.07858164711693957 , 0.0 , 0.1 , -0.5 , 248.00000000000006 , 198.00000000000006
0.10000000000000002 , 0.005 , 0.021189839495576276 , 0.13773328223052744 , -0.07848652963866724 , 0.0 , 0.1 , -0.5 , 246.00000000000006 , 212.00000000000006
0.10500000000000002 , 0.005 , 0.023274578733687455 , 0.13770519370984136 , -0.07838970169937882 , 0.0 , 0.1 , -0.5 , 246.00000000000006 , 212.00000000000006
0.11000000000000003 , 0.005 , 0.02539864512498519 , 0.13767634141582608 , -0.07829118704276804 , 0.0 , 0.1 , -0.5 , 244.00000000000006 , 216.00000000000006
0.11500000000000003 , 0.005 , 0.027554934430332807 , 0.13764680008188496 , -0.0781910066568421 , 0.0 , 0.1 , -0.5 , 244.00000000000006 , 216.00000000000006
0.12000000000000004 , 0.005 , 0.02973984810613763 , 0.1376166262598801 , -0.07808918119812636 , 0.0 , 0.1 , -0.5 , 237.00000000000006 , 226.00000000000006
0.12500000000000003 , 0.005 , 0.03195375357992283 , 0.13758581928617383 , -0.07798573234724808 , 0.0 , 0.1 , -0.5 , 237.00000000000006 , 226.00000000000006
0.13000000000000003 , 0.005 , 0.034197762555343375 , 0.13755435414270498 , -0.07788068236545903 , 0.0 , 0.1 , -0.5 , 231.00000000000006 , 235.00000000000006
0.13500000000000004 , 0.005 , 0.03647174121233596 , 0.13752221625447514 , -0.07777405316328005 , 0.0 , 0.1 , -0.5 , 231.00000000000006 , 235.00000000000006
0.14000000000000004 , 0.005 , 0.038774561263429715 , 0.1374894070182551 , -0.07766586598363763 , 0.0 , 0.1 , -0.5 , 224.00000000000006 , 243.00000000000006
0.14500000000000005 , 0.005 , 0.04110507955032872 , 0.13745593220354962 , -0.07755614167646685 , 0.0 , 0.1 , -0.5 , 224.00000000000006 , 243.00000000000006
0.15000000000000005 , 0.005 , 0.04346257757438783 , 0.13742179316307213 , -0.07744490101321538 , 0.0 , 0.1 , -0.5 , 215.00000000000006 , 248.00000000000006
0.15500000000000005 , 0.005 , 0.04584659255352676 , 0.13738698683779216 , -0.0773321647381042 , 0.0 , 0.1 , -0.5 , 215.00000000000006 , 248.00000000000006
0.16000000000000006 , 0.005 , 0.048256637445792505 , 0.1373515094764036 , -0.07721795344883522 , 0.0 , 0.1 , -0.5 , 206.00000000000006 , 254.00000000000006
