time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,-0.524,0.156,-0.33,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.01,0.01,-0.524,0.156,-0.33,0.0,0.08000000000038199,0.0,0.0,1.0000000000000002,143.00000000000003
0.02,0.01,-0.524,0.156,-0.33,0.0,0.15999999999985448,0.0,0.0,1.0000000000000002,205.00000000000006
0.03,0.01,-0.524,0.156,-0.33,0.0,0.24000000000023647,0.0,0.0,1.0000000000000002,233.00000000000006
0.04,0.01,-0.524,0.156,-0.33,0.0,0.3200000000001637,0.0,0.0,1.0000000000000002,246.00000000000006
0.05,0.01,-0.524,0.156,-0.33,0.0,0.40000000000009095,0.0,0.0,1.0000000000000002,251.00000000000006
0.060000000000000005,0.01,-0.524,0.156,-0.33,0.0,0.4800000000000182,0.0,0.0,1.0000000000000002,253.00000000000006
0.07,0.01,-0.524,0.156,-0.33,0.0,0.5599999999999454,0.0,0.0,1.0000000000000002,255.00000000000006
0.08,0.01,-0.524,0.156,-0.33,0.0,0.6399999999998727,0.0,0.0,1.0000000000000002,254.00000000000006
0.09,0.01,-0.524,0.156,-0.33,0.0,0.7200000000002547,0.0,0.0,1.0000000000000002,255.00000000000006
0.09999999999999999,0.01,-0.524,0.156,-0.33,0.0,0.7999999999997272,0.0,0.0,0.0,255.00000000000006
0.10999999999999999,0.01,-0.524,0.156,-0.33,0.0,0.8800000000001091,0.0,0.0,1.0000000000000002,254.00000000000006
0.11999999999999998,0.01,-0.524,0.156,-0.33,0.0,0.9600000000000364,0.0,0.0,1.0000000000000002,254.00000000000006
0.12999999999999998,0.01,-0.524,0.156,-0.33,0.0,1.0399999999999636,0.0,0.0,1.0000000000000002,254.00000000000006
0.13999999999999999,0.01,-0.524,0.156,-0.33,0.0,1.1199999999998909,0.0,0.0,1.0000000000000002,255.00000000000006
0.15,0.01,-0.524,0.156,-0.33,0.0,1.2000000000002728,0.0,0.0,1.0000000000000002,254.00000000000006
0.16,0.01,-0.524,0.156,-0.33,0.0,1.2799999999997453,0.0,0.0,0.0,255.00000000000006
0.17,0.01,-0.524,0.156,-0.33,0.0,1.3600000000001273,0.0,0.0,1.0000000000000002,254.00000000000006
0.18000000000000002,0.01,-0.524,0.156,-0.33,0.0,1.4400000000000546,0.0,0.0,1.0000000000000002,254.00000000000006
0.19000000000000003,0.01,-0.524,0.156,-0.33,0.0,1.5199999999999818,0.0,0.0,1.0000000000000002,254.00000000000006
0.20000000000000004,0.01,-0.524,0.156,-0.33,0.0,1.599999999999909,0.0,0.0,1.0000000000000002,255.00000000000006
0.21000000000000005,0.01,-0.524,0.156,-0.33,0.0,1.6799999999998363,0.0,0.0,0.0,254.00000000000006
0.22000000000000006,0.01,-0.524,0.156,-0.33,0.0,1.7599999999997635,0.0,0.0,0.0,254.00000000000006
0.23000000000000007,0.01,-0.524,0.156,-0.33,0.0,1.8400000000001455,0.0,0.0,1.0000000000000002,254.00000000000006
0.24000000000000007,0.01,-0.524,0.156,-0.33,0.0,1.919999999999618,0.0,0.0,1.0000000000000002,254.00000000000006
0.25000000000000006,0.01,-0.524,0.156,-0.33,0.0,2.0,0.0,0.0,0.0,254.00000000000006
0.26000000000000006,0.01,-0.524,0.156,-0.33,0.0,2.080000000000382,0.0,0.0,0.0,254.00000000000006
0.2700000000000001,0.01,-0.524,0.156,-0.33,0.0,2.1599999999998545,0.0,0.0,1.0000000000000002,254.00000000000006
0.2800000000000001,0.01,-0.524,0.156,-0.33,0.0,2.2400000000002365,0.0,0.0,1.0000000000000002,255.00000000000006
0.2900000000000001,0.01,-0.524,0.156,-0.33,0.0,2.3200000000001637,0.0,0.0,0.0,255.00000000000006
0.3000000000000001,0.01,-0.524,0.156,-0.33,0.0,2.400000000000091,0.0,0.0,1.0000000000000002,254.00000000000006
0.3100000000000001,0.01,-0.524,0.156,-0.33,0.0,2.480000000000018,0.0,0.0,0.0,254.00000000000006
0.3200000000000001,0.01,-0.524,0.156,-0.33,0.0,2.5599999999999454,0.0,0.0,1.0000000000000002,254.00000000000006
0.3300000000000001,0.01,-0.524,0.156,-0.33,0.0,2.6399999999998727,0.0,0.0,1.0000000000000002,254.00000000000006
0.34000000000000014,0.01,-0.524,0.156,-0.33,0.0,2.7200000000002547,0.0,0.0,0.0,255.00000000000006
0.35000000000000014,0.01,-0.524,0.156,-0.33,0.0,2.799999999999727,0.0,0.0,0.0,254.00000000000006
0.36000000000000015,0.01,-0.524,0.156,-0.33,0.0,2.880000000000109,0.0,0.0,1.0000000000000002,255.00000000000006
